bus,station,ID,ARS,lng,lat,geton,getoff,transfer
N343,수서역,122000295,23402,127.1005427,37.48815127,2039,203,8.12
N343,고속철도수서역,122000717,23320,127.103707,37.48488229,1063,330,13.2
N343,수서역.로즈데일빌딩,122000303,23410,127.1027879,37.48756378,24237,11321,1358.52
N343,수서역KT수서지점,122000296,23403,127.1000246,37.48841254,58,1447,57.88
N343,아주중학교,123000067,24156,127.0770059,37.50498632,8707,4092,163.68
N343,잠실근린공원.성현교회,123000073,24162,127.0814862,37.50629442,11507,8003,640.24
N343,잠실우성4차현대아파트,123000071,24160,127.0852016,37.50524883,10011,9643,771.44
N343,삼전역,123000077,24166,127.0890116,37.50404633,13651,12283,982.64
N343,송파구민회관구의회,123000079,24168,127.0947557,37.50269895,10902,11978,958.24
N343,석촌고분역.올림픽병원,123000089,24178,127.0984058,37.50258721,8205,13927,1114.16
N343,석촌동한솔아파트앞,123000091,24180,127.1052982,37.50448852,16486,12050,964
N343,석촌동한솔아파트,123000092,24181,127.1055523,37.50441588,8377,13517,1081.36
N343,송파역,123000007,24007,127.1118578,37.50021978,50071,28033,7849.24
N343,가락시장.가락시장역,123000009,24009,127.1171666,37.49438544,53866,26928,6462.72
N343,문정로데오거리입구,123000011,24011,127.1213046,37.48834723,48086,18249,5839.68
N343,문정법조단지.건영아파트,123000013,24013,127.1247015,37.48162043,54437,16592,5309.44
N343,장지역.가든파이브,123000015,24015,127.1260836,37.47903007,41622,17300,3460
N343,위례포레샤인.위례31단지후문,123000630,24439,127.1334027,37.47460951,19317,4325,692
N343,송파더센트레.송례중앞,123000573,24494,127.1407115,37.47826884,451,9228,738.24
